Date,Message
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;EURUSD;s=0;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=true;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;EURUSD;s=1;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=true;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;EURUSD;s=2;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=true;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;EURUSD;s=3;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=true;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;EURUSD;s=4;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=true;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;EURUSD;s=5;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=true;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;EURUSD;s=6;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=true;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;EURUSD;s=7;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=true;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;GBPUSD;s=0;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=true;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;GBPUSD;s=1;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=true;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;GBPUSD;s=2;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=true;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;GBPUSD;s=3;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=true;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;GBPUSD;s=4;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=true;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;GBPUSD;s=5;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=true;time_close=07-26 22:24
2026-07-26T22:21:00.000+01:00,DIAG-CLOSE;GBPUSD;s=6;prev=-1;c=0;firstObs=true;slotOn=true;inWindow=true;time_close=07-26 22:24
